method,rank,query_track_id,query_artist,query_song,query_genre,match_track_id,match_artist,match_song,match_genre,score
raw dot product,2,TREVCQU12903CCD318,The Black Keys,These Days,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2148.0
raw dot product,3,TREVCQU12903CCD318,The Black Keys,These Days,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,1884.0
raw dot product,1,TRFLJNE12903CB44F1,The Black Keys,When The Lights Go Out,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2209.0
raw dot product,2,TRFLJNE12903CB44F1,The Black Keys,When The Lights Go Out,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1781.0
raw dot product,3,TRFLJNE12903CB44F1,The Black Keys,When The Lights Go Out,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,1457.0
raw dot product,1,TRQNNKX12903CB44CA,The Black Keys,Have Love Will Travel,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,2215.0
raw dot product,2,TRQNNKX12903CB44CA,The Black Keys,Have Love Will Travel,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2205.0
raw dot product,3,TRQNNKX12903CB44CA,The Black Keys,Have Love Will Travel,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2108.0
raw dot product,1,TRKNKGC128F42A746A,Ray Charles,C.C. Rider,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,7547.0
raw dot product,2,TRKNKGC128F42A746A,Ray Charles,C.C. Rider,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,6158.0
raw dot product,3,TRKNKGC128F42A746A,Ray Charles,C.C. Rider,blues,TRGLNKG128F9307689,Eminem,My Darling,hip hop,5473.0
raw dot product,1,TRWEHQE128F935A2D6,Ray Charles,I Got a Woman,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2251.0
raw dot product,2,TRWEHQE128F935A2D6,Ray Charles,I Got a Woman,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2160.0
raw dot product,3,TRWEHQE128F935A2D6,Ray Charles,I Got a Woman,blues,TRYCBLK12903CE6A0E,Twiztid,She Ain't Afraid,hip hop,2066.0
raw dot product,1,TRPMJOK128F92F317A,Ray Charles,The Sun's Gonna Shine Again,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2103.0
raw dot product,2,TRPMJOK128F92F317A,Ray Charles,The Sun's Gonna Shine Again,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1440.0
raw dot product,3,TRPMJOK128F92F317A,Ray Charles,The Sun's Gonna Shine Again,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1435.0
raw dot product,1,TRGXECP12903CDDC43,Ray Charles,Losing Hand,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,3227.0
raw dot product,2,TRGXECP12903CDDC43,Ray Charles,Losing Hand,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2963.0
raw dot product,3,TRGXECP12903CDDC43,Ray Charles,Losing Hand,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,2841.0
raw dot product,1,TREQYGT128E07859FA,Blake Shelton,Nobody But Me (Album Version),blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,4601.0
raw dot product,2,TREQYGT128E07859FA,Blake Shelton,Nobody But Me (Album Version),blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,3701.0
raw dot product,3,TREQYGT128E07859FA,Blake Shelton,Nobody But Me (Album Version),blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,3608.0
raw dot product,1,TROFEVE12903CD8AAA,Etta James,A Sunday Kind of Love,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2268.0
raw dot product,2,TROFEVE12903CD8AAA,Etta James,A Sunday Kind of Love,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2092.0
raw dot product,3,TROFEVE12903CD8AAA,Etta James,A Sunday Kind of Love,blues,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,1772.0
raw dot product,1,TRCFPJF128F428A872,Etta James,I Just Want To Make Love To You,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,7889.0
raw dot product,2,TRCFPJF128F428A872,Etta James,I Just Want To Make Love To You,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,7104.0
raw dot product,3,TRCFPJF128F428A872,Etta James,I Just Want To Make Love To You,blues,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,6291.0
raw dot product,1,TRBFTHL128C7196B42,Etta James,My Dearest Darling,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1609.0
raw dot product,2,TRBFTHL128C7196B42,Etta James,My Dearest Darling,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1603.0
raw dot product,3,TRBFTHL128C7196B42,Etta James,My Dearest Darling,blues,TRGLNKG128F9307689,Eminem,My Darling,hip hop,1567.0
raw dot product,1,TRFEGGQ128E07898AA,Etta James,W.O.M.A.N.,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2237.0
raw dot product,2,TRFEGGQ128E07898AA,Etta James,W.O.M.A.N.,blues,TREAUAV128EF33FE50,Electrelane,Cut And Run,punk,1879.0
raw dot product,3,TRFEGGQ128E07898AA,Etta James,W.O.M.A.N.,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1744.0
raw dot product,1,TRDDDDX128E0793212,Eric Clapton,Alberta,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1647.0
raw dot product,2,TRDDDDX128E0793212,Eric Clapton,Alberta,blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1532.0
raw dot product,3,TRDDDDX128E0793212,Eric Clapton,Alberta,blues,TRGLNKG128F9307689,Eminem,My Darling,hip hop,1249.0
raw dot product,1,TRWBAGY128F93034BF,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1431.0
raw dot product,2,TRWBAGY128F93034BF,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,TRGLNKG128F9307689,Eminem,My Darling,hip hop,1312.0
raw dot product,3,TRWBAGY128F93034BF,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1285.0
raw dot product,1,TRLWIBC128E0792E2C,Eric Clapton,Early In The Morning,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2719.0
raw dot product,2,TRLWIBC128E0792E2C,Eric Clapton,Early In The Morning,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2110.0
raw dot product,3,TRLWIBC128E0792E2C,Eric Clapton,Early In The Morning,blues,TRUGLTC128F4227B93,Danity Kane,Hold Me Down (Album Version),r&b/soul,1773.0
raw dot product,1,TRAZQIG128F146372E,Eric Clapton,Floating Bridge,blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2423.0
raw dot product,2,TRAZQIG128F146372E,Eric Clapton,Floating Bridge,blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2285.0
raw dot product,3,TRAZQIG128F146372E,Eric Clapton,Floating Bridge,blues,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,1863.0
raw dot product,1,TRQUJCP128F4238206,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1804.0
raw dot product,2,TRQUJCP128F4238206,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1711.0
raw dot product,3,TRQUJCP128F4238206,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,1577.0
raw dot product,1,TRIDJMD128E078B984,Michael Bublé,That's All (Album Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,4289.0
raw dot product,2,TRIDJMD128E078B984,Michael Bublé,That's All (Album Version),classical,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2974.0
raw dot product,3,TRIDJMD128E078B984,Michael Bublé,That's All (Album Version),classical,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,2837.0
raw dot product,1,TRYRCXF128F424183D,Josh Groban,America (Revised Live Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2325.0
raw dot product,2,TRYRCXF128F424183D,Josh Groban,America (Revised Live Version),classical,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2240.0
raw dot product,3,TRYRCXF128F424183D,Josh Groban,America (Revised Live Version),classical,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,1876.0
raw dot product,1,TRDQLTF128E0787809,Josh Groban,Broken Vow (Album Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,4866.0
raw dot product,2,TRDQLTF128E0787809,Josh Groban,Broken Vow (Album Version),classical,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,4115.0
raw dot product,3,TRDQLTF128E0787809,Josh Groban,Broken Vow (Album Version),classical,TREBGAA128E078FC52,Erykah Badu,I Want You,r&b/soul,3892.0
raw dot product,1,TRUAAEQ128F423C52D,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,TRZZQIP128F92EFEAD,Abba,Move On,pop,1407.0
raw dot product,2,TRUAAEQ128F423C52D,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,TRDOJIR128F42840C0,Horace Andy,Horse With No Name,reggae,1321.0
raw dot product,3,TRUAAEQ128F423C52D,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,TRKKUWM128F92E4E1C,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,1148.0
raw dot product,1,TRYGDNA128E078780C,Josh Groban,Hymne A L'Amour (Album Version),classical,TRSABJR128F429C84B,Tryo,Yakamonéyé,reggae,923.0
raw dot product,2,TRYGDNA128E078780C,Josh Groban,Hymne A L'Amour (Album Version),classical,TRMLZFP128F932290C,Fonky Family,L'Amour Du Risque,hip hop,917.0
raw dot product,3,TRYGDNA128E078780C,Josh Groban,Hymne A L'Amour (Album Version),classical,TRIAELA128F149EEE6,Sniper,Panam All Star,hip hop,906.0
raw dot product,1,TRDFTPP128F427550C,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,TRTCOWO128F930C444,The Streets,Weak Become Heroes,hip hop,1169.0
raw dot product,2,TRDFTPP128F427550C,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,TRXXGET128F4259B88,Travis,Sing,pop,949.0
raw dot product,3,TRDFTPP128F427550C,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,TRRZNYJ128F42B8819,Jenny Lewis,Sing A Song,country,862.0
raw dot product,1,TRRBWRX128F423C535,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2200.0
raw dot product,2,TRRBWRX128F423C535,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,2187.0
raw dot product,3,TRRBWRX128F423C535,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2172.0
raw dot product,1,TRJSTLV128F4241832,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,TRPUUSG128E07953B7,Shaggy,Luv Me Up,reggae,663.0
raw dot product,2,TRJSTLV128F4241832,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,TRRVXQX128F429A0C4,Fabrizio De Andrè,Sinan Capudan Pascià,folk,500.0
raw dot product,3,TRJSTLV128F4241832,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,TRYECON128F423ABA0,Jowell & Randy,Te Ando Buscando,reggae,478.0
raw dot product,1,TRBRHPE128E0787803,Josh Groban,My Confession (Album Version),classical,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3830.0
raw dot product,2,TRBRHPE128E0787803,Josh Groban,My Confession (Album Version),classical,TRCHZXW128E079288A,Eminem,8 Mile,hip hop,3532.0
raw dot product,3,TRBRHPE128E0787803,Josh Groban,My Confession (Album Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,3498.0
raw dot product,1,TRLJSTZ128F4241831,Josh Groban,Oceano (Revised Live Version),classical,TRZRTPI12903D0954A,Flaminio Maphia,Quelli Che,hip hop,765.0
raw dot product,2,TRLJSTZ128F4241831,Josh Groban,Oceano (Revised Live Version),classical,TRRVXQX128F429A0C4,Fabrizio De Andrè,Sinan Capudan Pascià,folk,631.0
raw dot product,3,TRLJSTZ128F4241831,Josh Groban,Oceano (Revised Live Version),classical,TRKKUWM128F92E4E1C,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,587.0
raw dot product,1,TRGURIJ128E078780B,Josh Groban,Remember When It Rained (Album Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1644.0
raw dot product,2,TRGURIJ128E078780B,Josh Groban,Remember When It Rained (Album Version),classical,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,1486.0
raw dot product,3,TRGURIJ128E078780B,Josh Groban,Remember When It Rained (Album Version),classical,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1450.0
raw dot product,1,TRYKKOX128F4241839,Josh Groban,Remember When It Rained (Revised Live Version),classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,1644.0
raw dot product,2,TRYKKOX128F4241839,Josh Groban,Remember When It Rained (Revised Live Version),classical,TRQAWKR128F425EEC3,Michael Jackson,Man In The Mirror,pop,1486.0
raw dot product,3,TRYKKOX128F4241839,Josh Groban,Remember When It Rained (Revised Live Version),classical,TRDPGXU128F9339C2A,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1450.0
raw dot product,1,TRUVBEG128F92F0B48,Josh Groban,Smile,classical,TRFUJVJ128F426F2A2,Lauryn Hill,Interlude 5,r&b/soul,2716.0
raw dot product,2,TRUVBEG128F92F0B48,Josh Groban,Smile,classical,TRWSYHO128F4282346,Twista,I'm A Winner (Amended Album Version),hip hop,2258.0
